2025/09/13 14:46:21 sim: snapshot players=1 entities=1 cells=3
2025/09/13 14:46:22 sim: snapshot players=1 entities=1 cells=3
2025/09/13 14:46:22 sim: snapshot players=1 entities=1 cells=3
2025/09/13 14:46:22 sim: snapshot players=1 entities=1 cells=3
2025/09/13 14:46:22 sim: snapshot players=1 entities=1 cells=3
2025/09/13 14:46:22 sim: snapshot players=1 entities=1 cells=3
2025/09/13 14:46:22 sim: snapshot players=1 entities=1 cells=3
2025/09/13 14:46:22 sim: snapshot players=1 entities=1 cells=3
2025/09/13 14:46:23 sim: snapshot players=1 entities=1 cells=3
2025/09/13 14:46:23 sim: snapshot players=1 entities=1 cells=3
2025/09/13 14:46:23 sim: snapshot players=1 entities=1 cells=3
2025/09/13 14:46:23 sim: snapshot players=1 entities=1 cells=3
2025/09/13 14:46:23 sim: snapshot players=1 entities=1 cells=3
2025/09/13 14:46:23 sim: snapshot players=1 entities=1 cells=3
2025/09/13 14:46:23 sim: snapshot players=1 entities=1 cells=3
2025/09/13 14:46:23 sim: snapshot players=1 entities=1 cells=3
2025/09/13 14:46:24 sim: snapshot players=1 entities=1 cells=3
2025/09/13 14:46:24 sim: snapshot players=1 entities=1 cells=3
2025/09/13 14:46:24 sim: snapshot players=1 entities=1 cells=3
2025/09/13 14:46:24 sim: snapshot players=1 entities=1 cells=3
2025/09/13 14:46:24 sim: snapshot players=1 entities=1 cells=3
2025/09/13 14:46:24 sim: snapshot players=1 entities=1 cells=3
2025/09/13 14:46:24 sim: snapshot players=1 entities=1 cells=3
2025/09/13 14:46:24 sim: snapshot players=1 entities=1 cells=3
2025/09/13 14:46:25 sim: snapshot players=1 entities=1 cells=3
2025/09/13 14:46:25 sim: snapshot players=1 entities=1 cells=3
2025/09/13 14:46:25 sim: snapshot players=1 entities=1 cells=4
2025/09/13 14:46:25 sim: snapshot players=1 entities=1 cells=4
2025/09/13 14:46:25 sim: snapshot players=1 entities=1 cells=4
2025/09/13 14:46:25 sim: snapshot players=1 entities=1 cells=4
2025/09/13 14:46:25 sim: snapshot players=1 entities=1 cells=4
2025/09/13 14:46:25 sim: snapshot players=1 entities=1 cells=4
2025/09/13 14:46:26 sim: snapshot players=1 entities=1 cells=4
2025/09/13 14:46:26 sim: snapshot players=1 entities=1 cells=4
2025/09/13 14:46:26 sim: snapshot players=1 entities=1 cells=4
2025/09/13 14:46:26 sim: snapshot players=1 entities=1 cells=4
2025/09/13 14:46:26 sim: snapshot players=1 entities=1 cells=4
2025/09/13 14:46:26 sim: snapshot players=1 entities=1 cells=4
2025/09/13 14:46:26 sim: snapshot players=1 entities=1 cells=4
2025/09/13 14:46:26 sim: snapshot players=1 entities=1 cells=4
2025/09/13 14:46:27 sim: snapshot players=1 entities=1 cells=4
2025/09/13 14:46:27 sim: snapshot players=1 entities=1 cells=4
2025/09/13 14:46:27 sim: snapshot players=1 entities=1 cells=4
2025/09/13 14:46:27 sim: snapshot players=1 entities=1 cells=4
2025/09/13 14:46:27 sim: snapshot players=1 entities=1 cells=4
2025/09/13 14:46:27 sim: snapshot players=1 entities=1 cells=4
2025/09/13 14:46:27 sim: snapshot players=1 entities=1 cells=4
2025/09/13 14:46:27 sim: snapshot players=1 entities=1 cells=4
2025/09/13 14:46:28 sim: snapshot players=1 entities=1 cells=4
2025/09/13 14:46:28 sim: snapshot players=1 entities=1 cells=4
2025/09/13 14:46:28 sim: snapshot players=1 entities=1 cells=4
2025/09/13 14:46:28 sim: snapshot players=1 entities=1 cells=4
2025/09/13 14:46:28 sim: snapshot players=1 entities=1 cells=4
2025/09/13 14:46:28 sim: snapshot players=1 entities=1 cells=4
2025/09/13 14:46:28 sim: snapshot players=1 entities=1 cells=4
2025/09/13 14:46:28 sim: snapshot players=1 entities=1 cells=4
2025/09/13 14:46:29 sim: snapshot players=1 entities=1 cells=4
2025/09/13 14:46:29 sim: snapshot players=1 entities=1 cells=4
2025/09/13 14:46:29 sim: snapshot players=1 entities=1 cells=4
2025/09/13 14:46:29 sim: snapshot players=1 entities=1 cells=4
2025/09/13 14:46:29 sim: snapshot players=1 entities=1 cells=4
2025/09/13 14:46:29 sim: snapshot players=1 entities=1 cells=4
